行ID,订单ID,订单日期,发货日期,邮寄方式,客户ID,客户名称,细分,城市,省/自治区,国家,地区,产品ID,类别,子类别,产品名称,销售额,数量,折扣,利润
109,CN-2016-0000109,2016/1/13,2016/1/15,一级,AG4KZO4DB3TY,shaanbishwas,消费者,咸水沽,天津,中国,华北,B08BCKN299,Electronics|Headphones,Electronics|Headphones,"Sounce Gold, Plated",1744.68,6,0.0,802.2
110,CN-2016-0000110,2016/1/13,2016/1/16,一级,AGSGSRTEZBQY,BirendrakuDa,消费者,宿州,安徽,中国,华东,B083342NKJ,Computers|Accessories,Computers|Accessories,"MI Braided, USB",2340.8,10,0.0,116.2
111,CN-2016-0000111,2016/1/13,2016/1/16,一级,AGSGSRTEZBQY,BirendrakuDa,消费者,宿州,安徽,中国,华东,B083342NKJ,Computers|Accessories,Computers|Accessories,"MI Braided, USB",2340.8,10,0.0,116.2
112,CN-2016-0000112,2016/1/13,2016/1/16,一级,AE3Q6KSUK5P7,rahuls6099Sw,消费者,宿州,安徽,中国,华东,B08CF3B7N1,Computers|Accessories,Computers|Accessories,"Portronics Konnect, L",781.06,7,0.0,155.82
113,CN-2016-0000113,2016/1/13,2016/1/17,标准级,AG7C6DAADCTR,VivekkumarAm,小型企业,大庆,黑龙江,中国,东北,B08WRWPM22,Computers|Accessories,Computers|Accessories,"boAt Micro, USB",1580.74,7,0.0,552.72
114,CN-2016-0000114,2016/1/13,2016/1/17,标准级,AHZNSNBVKQR4,AnirbanAbhiK,小型企业,大庆,黑龙江,中国,东北,B0B3MWYCHQ,Electronics|Wearable,Electronics|Wearable,"Fire-Boltt Ring, 3",212.1,3,0.0,39.9
115,CN-2016-0000115,2016/1/13,2016/1/17,标准级,AHZNSNBVKQR4,AnirbanAbhiK,小型企业,大庆,黑龙江,中国,东北,B0B3MWYCHQ,Electronics|Wearable,Electronics|Wearable,"Fire-Boltt Ring, 3",212.1,3,0.0,39.9
116,CN-2016-0000116,2016/1/13,2016/1/17,标准级,AG6WSLLXZY52,prateeqSuraj,小型企业,大庆,黑龙江,中国,东北,B09F9YQQ7B,Electronics|HomeTheater,Electronics|HomeTheater,"Redmi 80, cm",507.08,1,0.0,243.32
117,CN-2016-0000117,2016/1/13,2016/1/17,标准级,AFPYH3UF3GB4,SujilivParas,小型企业,大庆,黑龙江,中国,东北,B0B9BXKBC7,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"WeCool S5, Long",322.0,5,0.0,12.6
118,CN-2016-0000118,2016/1/13,2016/1/17,标准级,AFPYH3UF3GB4,SujilivParas,小型企业,大庆,黑龙江,中国,东北,B0B9BXKBC7,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"WeCool S5, Long",322.0,5,0.0,12.6
119,CN-2016-0000119,2016/1/16,2016/1/21,标准级,AEL5HU25IP7Y,SanjayG.Vina,消费者,徐州,江苏,中国,华东,B09ZQK9X8G,Electronics|Wearable,Electronics|Wearable,"Noise ColorFit, Pro",74.676,3,0.8,-145.824
120,CN-2016-0000120,2016/1/16,2016/1/21,标准级,AEL5HU25IP7Y,SanjayG.Vina,消费者,徐州,江苏,中国,华东,B09ZQK9X8G,Electronics|Wearable,Electronics|Wearable,"Noise ColorFit, Pro",74.676,3,0.8,-145.824
121,CN-2016-0000121,2016/1/17,2016/1/22,二级,AHVZCQP5SYIV,HremantAnjan,小型企业,辛置,山西,中国,华北,B01GGKYKQM,Computers|Accessories,Computers|Accessories,"Amazon Basics, USB",1608.18,3,0.0,739.62
122,CN-2016-0000122,2016/1/17,2016/1/22,二级,AHVZCQP5SYIV,HremantAnjan,小型企业,辛置,山西,中国,华北,B01GGKYKQM,Computers|Accessories,Computers|Accessories,"Amazon Basics, USB",1608.18,3,0.0,739.62
123,CN-2016-0000123,2016/1/17,2016/1/22,二级,AEJQT5NMTAM2,DeepankarG.B,小型企业,辛置,山西,中国,华北,B09YV3K34W,Electronics|Wearable,Electronics|Wearable,"Fire-Boltt India's, No",3965.64,6,0.0,1585.92
124,CN-2016-0000124,2016/1/17,2016/1/22,二级,AEJQT5NMTAM2,DeepankarG.B,小型企业,辛置,山西,中国,华北,B09YV3K34W,Electronics|Wearable,Electronics|Wearable,"Fire-Boltt India's, No",3965.64,6,0.0,1585.92
125,CN-2016-0000125,2016/1/17,2016/1/23,标准级,AHJJY3GFDJFT,AtulyaSinhaS,消费者,蒙阴,山东,中国,华东,B0B14MR9L1,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"Samsung Galaxy, M33",4362.68,2,0.0,1526.84
126,CN-2016-0000126,2016/1/17,2016/1/23,标准级,AHJJY3GFDJFT,AtulyaSinhaS,消费者,蒙阴,山东,中国,华东,B0B14MR9L1,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"Samsung Galaxy, M33",4362.68,2,0.0,1526.84
127,CN-2016-0000127,2016/1/17,2016/1/21,标准级,AFWJSD4AVIM6,ArunvermaArv,小型企业,沈阳,辽宁,中国,东北,B082T6V3DT,Computers|Accessories,Computers|Accessories,"AmazonBasics New, Release",2801.232,6,0.4,-140.448
128,CN-2016-0000128,2016/1/17,2016/1/21,标准级,AFWJSD4AVIM6,ArunvermaArv,小型企业,沈阳,辽宁,中国,东北,B082T6V3DT,Computers|Accessories,Computers|Accessories,"AmazonBasics New, Release",2801.232,6,0.4,-140.448
129,CN-2016-0000129,2016/1/17,2016/1/21,标准级,AEAX7BRPDS3N,AkJiteshanil,小型企业,沈阳,辽宁,中国,东北,B0B9BD2YL4,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"KINGONE Wireless, Charging",376.74,5,0.4,18.34
130,CN-2016-0000130,2016/1/17,2016/1/19,一级,AG44HJB2AMIV,PrashantSume,消费者,天津,天津,中国,华北,B0BDRVFDKP,Electronics|Accessories,Electronics|Accessories,"SanDisk Ultra庐, microSDXC鈩?UHS-I",235.2,2,0.0,103.32
131,CN-2016-0000131,2016/1/17,2016/1/19,一级,AG44HJB2AMIV,PrashantSume,消费者,天津,天津,中国,华北,B0BDRVFDKP,Electronics|Accessories,Electronics|Accessories,"SanDisk Ultra庐, microSDXC鈩?UHS-I",235.2,2,0.0,103.32
132,CN-2016-0000132,2016/1/17,2016/1/19,一级,AFF3MID2VKCR,VishalBhardw,消费者,天津,天津,中国,华北,B08BQ947H3,Computers|Accessories,Computers|Accessories,"LIRAMARK Webcam, Cover",2712.5,5,0.0,1247.4
133,CN-2016-0000133,2016/1/17,2016/1/19,一级,AFF3MID2VKCR,VishalBhardw,消费者,天津,天津,中国,华北,B08BQ947H3,Computers|Accessories,Computers|Accessories,"LIRAMARK Webcam, Cover",2712.5,5,0.0,1247.4
134,CN-2016-0000134,2016/1/18,2016/1/23,二级,AHQIYGWISGS2,Vineetshreya,消费者,颍上城关镇,安徽,中国,华东,B0B3NDPCS9,Electronics|Wearable,Electronics|Wearable,"Fire-Boltt Visionary, 1.78",100.52,2,0.0,36.96
135,CN-2016-0000135,2016/1/18,2016/1/23,二级,AHQIYGWISGS2,Vineetshreya,消费者,颍上城关镇,安徽,中国,华东,B0B3NDPCS9,Electronics|Wearable,Electronics|Wearable,"Fire-Boltt Visionary, 1.78",100.52,2,0.0,36.96
136,CN-2016-0000136,2016/1/18,2016/1/20,二级,AGQT36ICAXRX,RashmiJoshiS,消费者,长沙,湖南,中国,中南,B09MT84WV5,Electronics|Accessories,Electronics|Accessories,"Samsung EVO, Plus",1315.44,4,0.0,144.48
137,CN-2016-0000137,2016/1/18,2016/1/20,二级,AGQT36ICAXRX,RashmiJoshiS,消费者,长沙,湖南,中国,中南,B09MT84WV5,Electronics|Accessories,Electronics|Accessories,"Samsung EVO, Plus",1315.44,4,0.0,144.48
138,CN-2016-0000138,2016/1/21,2016/1/23,一级,AHUGCKS7YANT,yogitaratreA,公司,曲阜,山东,中国,华东,B0B3RRWSF6,Electronics|Wearable,Electronics|Wearable,"Fire-Boltt Phoenix, Smart",276.5,5,0.0,132.3
139,CN-2016-0000139,2016/1/21,2016/1/23,一级,AHUGCKS7YANT,yogitaratreA,公司,曲阜,山东,中国,华东,B0B3RRWSF6,Electronics|Wearable,Electronics|Wearable,"Fire-Boltt Phoenix, Smart",276.5,5,0.0,132.3
140,CN-2016-0000140,2016/1/21,2016/1/23,一级,AFAKEZV7KMVT,VikrantGanes,公司,曲阜,山东,中国,华东,B07RD611Z8,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"Ambrane 20000mAh, Power",255.5,5,0.0,51.1
141,CN-2016-0000141,2016/1/21,2016/1/23,一级,AFAKEZV7KMVT,VikrantGanes,公司,曲阜,山东,中国,华东,B07RD611Z8,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"Ambrane 20000mAh, Power",255.5,5,0.0,51.1
142,CN-2016-0000142,2016/1/21,2016/1/22,一级,AHH2TIJJ2IGD,Gopalkrishna,小型企业,延吉,吉林,中国,东北,B09CMP1SC8,Computers|Accessories,Computers|Accessories,"Ambrane 2, in",806.68,1,0.0,403.34
143,CN-2016-0000143,2016/1/21,2016/1/23,二级,AHVZCQP5SYIV,HremantAnjan,公司,珲春,吉林,中国,东北,B01GGKYKQM,Computers|Accessories,Computers|Accessories,"Amazon Basics, USB",443.24,2,0.0,124.04
144,CN-2016-0000144,2016/1/21,2016/1/24,一级,AG4KZO4DB3TY,shaanbishwas,消费者,余姚,浙江,中国,华东,B08BCKN299,Electronics|Headphones,Electronics|Headphones,"Sounce Gold, Plated",55.944,3,0.4,0.924
145,CN-2016-0000145,2016/1/21,2016/1/24,一级,AG4KZO4DB3TY,shaanbishwas,消费者,余姚,浙江,中国,华东,B08BCKN299,Electronics|Headphones,Electronics|Headphones,"Sounce Gold, Plated",55.944,3,0.4,0.924
146,CN-2016-0000146,2016/1/21,2016/1/24,一级,AEXK37TSBFHS,SunilFundeBi,消费者,余姚,浙江,中国,华东,B07GVGTSLN,Computers|Accessories,Computers|Accessories,"Wayona Usb, Type",103.824,3,0.4,-25.956
147,CN-2016-0000147,2016/1/21,2016/1/24,一级,AEXK37TSBFHS,SunilFundeBi,消费者,余姚,浙江,中国,华东,B07GVGTSLN,Computers|Accessories,Computers|Accessories,"Wayona Usb, Type",103.824,3,0.4,-25.956
148,CN-2016-0000148,2016/1/21,2016/1/24,一级,AGSGSRTEZBQY,BirendrakuDa,消费者,余姚,浙江,中国,华东,B083342NKJ,Computers|Accessories,Computers|Accessories,"MI Braided, USB",411.012,3,0.4,-89.208
149,CN-2016-0000149,2016/1/21,2016/1/24,一级,AGSGSRTEZBQY,BirendrakuDa,消费者,余姚,浙江,中国,华东,B083342NKJ,Computers|Accessories,Computers|Accessories,"MI Braided, USB",411.012,3,0.4,-89.208
150,CN-2016-0000150,2016/1/22,2016/1/27,标准级,AHH2TIJJ2IGD,Gopalkrishna,公司,西安,陕西,中国,西北,B09CMP1SC8,Computers|Accessories,Computers|Accessories,"Ambrane 2, in",1701.0,6,0.0,730.8
151,CN-2016-0000151,2016/1/22,2016/1/27,标准级,AHH2TIJJ2IGD,Gopalkrishna,公司,西安,陕西,中国,西北,B09CMP1SC8,Computers|Accessories,Computers|Accessories,"Ambrane 2, in",1701.0,6,0.0,730.8
152,CN-2016-0000152,2016/1/22,2016/1/27,标准级,AGYLPKPZHVYK,TanyaAnuAksh,公司,西安,陕西,中国,西北,B08CF3D7QR,Computers|Accessories,Computers|Accessories,"Portronics Konnect, L",284.48,2,0.0,108.08
153,CN-2016-0000153,2016/1/22,2016/1/27,标准级,AGYLPKPZHVYK,TanyaAnuAksh,公司,西安,陕西,中国,西北,B08CF3D7QR,Computers|Accessories,Computers|Accessories,"Portronics Konnect, L",284.48,2,0.0,108.08
154,CN-2016-0000154,2016/1/23,2016/1/27,二级,AEWAZDZZJLQU,OmkardhaleJD,消费者,太原,山西,中国,华北,B0789LZTCJ,Computers|Accessories,Computers|Accessories,"boAt Rugged, v3",1722.84,3,0.0,619.92
155,CN-2016-0000155,2016/1/23,2016/1/27,二级,AE3Q6KSUK5P7,rahuls6099Sw,消费者,太原,山西,中国,华北,B08CF3B7N1,Computers|Accessories,Computers|Accessories,"Portronics Konnect, L",5304.04,2,0.0,954.52
156,CN-2016-0000156,2016/1/23,2016/1/27,二级,AE3Q6KSUK5P7,rahuls6099Sw,消费者,太原,山西,中国,华北,B08CF3B7N1,Computers|Accessories,Computers|Accessories,"Portronics Konnect, L",5304.04,2,0.0,954.52
157,CN-2016-0000157,2016/1/25,2016/1/29,二级,AH3LHRL5P4YA,AmazonCustom,消费者,保定,河北,中国,华北,B077Z65HSD,Computers|Accessories,Computers|Accessories,"boAt A400, USB",155.4,5,0.0,63.7
158,CN-2016-0000158,2016/1/25,2016/1/29,二级,AH3LHRL5P4YA,AmazonCustom,消费者,保定,河北,中国,华北,B077Z65HSD,Computers|Accessories,Computers|Accessories,"boAt A400, USB",155.4,5,0.0,63.7
159,CN-2016-0000159,2016/1/25,2016/1/29,二级,AHQIYGWISGS2,Vineetshreya,消费者,保定,河北,中国,华北,B0B3N7LR6K,Electronics|Wearable,Electronics|Wearable,"Fire-Boltt Visionary, 1.78",6610.24,4,0.0,1982.96
160,CN-2016-0000160,2016/1/25,2016/1/29,二级,AHQIYGWISGS2,Vineetshreya,消费者,保定,河北,中国,华北,B0B3N7LR6K,Electronics|Wearable,Electronics|Wearable,"Fire-Boltt Visionary, 1.78",6610.24,4,0.0,1982.96
161,CN-2016-0000161,2016/1/25,2016/1/29,二级,AF2IRSQZKMBG,WraithKrishn,消费者,保定,河北,中国,华北,B07XLCFSSN,Computers|Accessories,Computers|Accessories,"Amazonbasics Nylon, Braided",408.24,3,0.0,81.48
162,CN-2016-0000162,2016/1/25,2016/1/29,二级,AF2IRSQZKMBG,WraithKrishn,消费者,保定,河北,中国,华北,B07XLCFSSN,Computers|Accessories,Computers|Accessories,"Amazonbasics Nylon, Braided",408.24,3,0.0,81.48
163,CN-2016-0000163,2016/1/25,2016/1/29,二级,AHECNVXSW6RE,AnkitaDwived,消费者,保定,河北,中国,华北,B097R25DP7,Electronics|Wearable,Electronics|Wearable,"Noise ColorFit, Pulse",1263.36,3,0.0,126.0
164,CN-2016-0000164,2016/1/25,2016/1/29,二级,AHECNVXSW6RE,AnkitaDwived,消费者,保定,河北,中国,华北,B097R25DP7,Electronics|Wearable,Electronics|Wearable,"Noise ColorFit, Pulse",1263.36,3,0.0,126.0
165,CN-2016-0000165,2016/1/25,2016/2/1,标准级,AHUH7OYN3LAU,AnmolVaniTej,消费者,南阳,河南,中国,中南,B09RZS1NQT,Computers|Accessories,Computers|Accessories,"Sounce 65W, OnePlus",1580.6,2,0.0,537.32
166,CN-2016-0000166,2016/1/25,2016/2/1,标准级,AHUH7OYN3LAU,AnmolVaniTej,消费者,南阳,河南,中国,中南,B09RZS1NQT,Computers|Accessories,Computers|Accessories,"Sounce 65W, OnePlus",1580.6,2,0.0,537.32
167,CN-2016-0000167,2016/1/26,2016/1/29,二级,AE6CROVUGPHR,architArjunS,消费者,上海,上海,中国,华东,B096VF5YYF,Electronics|Wearable,Electronics|Wearable,"boAt Xtend, Smartwatch",6080.48,2,0.0,2249.52
168,CN-2016-0000168,2016/1/26,2016/1/29,二级,AE6CROVUGPHR,architArjunS,消费者,上海,上海,中国,华东,B096VF5YYF,Electronics|Wearable,Electronics|Wearable,"boAt Xtend, Smartwatch",6080.48,2,0.0,2249.52
169,CN-2016-0000169,2016/1/26,2016/1/29,二级,AHVZCQP5SYIV,HremantAnjan,消费者,上海,上海,中国,华东,B01GGKYKQM,Computers|Accessories,Computers|Accessories,"Amazon Basics, USB",382.62,3,0.0,149.1
170,CN-2016-0000170,2016/1/26,2016/1/29,二级,AFYR53OTBUX2,Anandsarmalo,消费者,上海,上海,中国,华东,B094JNXNPV,Computers|Accessories,Computers|Accessories,"Ambrane Unbreakable, 3",5404.224,4,0.4,-180.656
171,CN-2016-0000171,2016/1/26,2016/1/29,二级,AFYR53OTBUX2,Anandsarmalo,消费者,上海,上海,中国,华东,B094JNXNPV,Computers|Accessories,Computers|Accessories,"Ambrane Unbreakable, 3",5404.224,4,0.4,-180.656
172,CN-2016-0000172,2016/1/26,2016/1/29,二级,AEWAZDZZJLQU,OmkardhaleJD,消费者,上海,上海,中国,华东,B08HDJ86NZ,Computers|Accessories,Computers|Accessories,"boAt Deuce, USB",2353.68,4,0.0,399.84
173,CN-2016-0000173,2016/1/26,2016/1/29,二级,AEWAZDZZJLQU,OmkardhaleJD,消费者,上海,上海,中国,华东,B08HDJ86NZ,Computers|Accessories,Computers|Accessories,"boAt Deuce, USB",2353.68,4,0.0,399.84
174,CN-2016-0000174,2016/1/26,2016/1/29,二级,AG44HJB2AMIV,PrashantSume,消费者,上海,上海,中国,华东,B0BDRVFDKP,Electronics|Accessories,Electronics|Accessories,"SanDisk Ultra庐, microSDXC鈩?UHS-I",268.8,4,0.0,91.28
175,CN-2016-0000175,2016/1/26,2016/1/29,二级,AG44HJB2AMIV,PrashantSume,消费者,上海,上海,中国,华东,B0BDRVFDKP,Electronics|Accessories,Electronics|Accessories,"SanDisk Ultra庐, microSDXC鈩?UHS-I",268.8,4,0.0,91.28
176,CN-2016-0000176,2016/1/26,2016/1/28,二级,AEWAZDZZJLQU,OmkardhaleJD,消费者,南宁,广西,中国,中南,B0789LZTCJ,Computers|Accessories,Computers|Accessories,"boAt Rugged, v3",124.32,2,0.0,23.52
177,CN-2016-0000177,2016/1/26,2016/1/28,一级,AHGRRV5SETS3,PrinceySubod,消费者,重庆,重庆,中国,西南,B09L835C3V,Electronics|HomeTheater,Electronics|HomeTheater,"Smashtronics庐 -, Case",663.04,4,0.0,12.88
178,CN-2016-0000178,2016/1/26,2016/1/28,一级,AHGRRV5SETS3,PrinceySubod,消费者,重庆,重庆,中国,西南,B09L835C3V,Electronics|HomeTheater,Electronics|HomeTheater,"Smashtronics庐 -, Case",663.04,4,0.0,12.88
179,CN-2016-0000179,2016/1/26,2016/1/28,一级,AFYR53OTBUX2,Anandsarmalo,消费者,重庆,重庆,中国,西南,B094JNXNPV,Computers|Accessories,Computers|Accessories,"Ambrane Unbreakable, 3",201.6,3,0.0,68.46
180,CN-2016-0000180,2016/1/26,2016/1/28,一级,AFWJSD4AVIM6,ArunvermaArv,消费者,重庆,重庆,中国,西南,B082T6V3DT,Computers|Accessories,Computers|Accessories,"AmazonBasics New, Release",2695.84,4,0.0,1078.0
181,CN-2016-0000181,2016/1/26,2016/1/28,一级,AFWJSD4AVIM6,ArunvermaArv,消费者,重庆,重庆,中国,西南,B082T6V3DT,Computers|Accessories,Computers|Accessories,"AmazonBasics New, Release",2695.84,4,0.0,1078.0
182,CN-2016-0000182,2016/1/27,2016/1/29,一级,AEYHTCWWZYU3,ShivaUzefkot,公司,重庆,重庆,中国,西南,B00NH11KIK,Computers|Accessories,Computers|Accessories,"AmazonBasics USB, 2.0",4382.56,7,0.0,744.8
183,CN-2016-0000183,2016/1/27,2016/1/29,一级,AEYHTCWWZYU3,ShivaUzefkot,公司,重庆,重庆,中国,西南,B00NH11KIK,Computers|Accessories,Computers|Accessories,"AmazonBasics USB, 2.0",4382.56,7,0.0,744.8
184,CN-2016-0000184,2016/1/27,2016/1/29,一级,AG3D6O4STAQK,ManavAdarshg,公司,重庆,重庆,中国,西南,B07JW9H4J1,Computers|Accessories,Computers|Accessories,"Wayona Nylon, Braided",54.74,1,0.0,15.82
185,CN-2016-0000185,2016/1/27,2016/1/29,一级,AF2IRSQZKMBG,WraithKrishn,公司,重庆,重庆,中国,西南,B07XLCFSSN,Computers|Accessories,Computers|Accessories,"Amazonbasics Nylon, Braided",1257.9,5,0.0,100.1
186,CN-2016-0000186,2016/1/27,2016/1/29,一级,AF2IRSQZKMBG,WraithKrishn,公司,重庆,重庆,中国,西南,B07XLCFSSN,Computers|Accessories,Computers|Accessories,"Amazonbasics Nylon, Braided",1257.9,5,0.0,100.1
187,CN-2016-0000187,2016/1/27,2016/1/29,一级,AHW6E5LQ2BDY,PavanAHJayes,公司,重庆,重庆,中国,西南,B08DDRGWTJ,Computers|Accessories,Computers|Accessories,"MI Usb, Type-C",6090.7,5,0.0,182.7
188,CN-2016-0000188,2016/1/27,2016/1/29,一级,AHW6E5LQ2BDY,PavanAHJayes,公司,重庆,重庆,中国,西南,B08DDRGWTJ,Computers|Accessories,Computers|Accessories,"MI Usb, Type-C",6090.7,5,0.0,182.7
189,CN-2016-0000189,2016/1/27,2016/1/27,当日,AHTVBHRLCBX5,ShekharBadol,公司,青冈,黑龙江,中国,东北,B094YFFSMY,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"Tygot Bluetooth, Extendable",147.0,2,0.0,29.4
190,CN-2016-0000190,2016/1/27,2016/1/27,当日,AHTVBHRLCBX5,ShekharBadol,公司,青冈,黑龙江,中国,东北,B094YFFSMY,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"Tygot Bluetooth, Extendable",147.0,2,0.0,29.4
191,CN-2016-0000191,2016/1/27,2016/1/27,当日,AF6SKHWKK53B,Thenmozhiman,公司,青冈,黑龙江,中国,东北,B09Q8HMKZX,Computers|Accessories,Computers|Accessories,"Portronics Konnect, L",1717.94,7,0.0,463.54
192,CN-2016-0000192,2016/1/27,2016/2/1,标准级,AG2V3QSA4MVD,SantoshKumar,公司,滁州,安徽,中国,华东,B09Z6WH2N1,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"STRIFF 12, Pieces",637.0,1,0.0,31.78
193,CN-2016-0000193,2016/1/27,2016/2/1,标准级,AG2V3QSA4MVD,SantoshKumar,公司,滁州,安徽,中国,华东,B09Z6WH2N1,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"STRIFF 12, Pieces",637.0,1,0.0,31.78
194,CN-2016-0000194,2016/1/30,2016/2/3,二级,AFLBLMPC4WUE,VelirDileepV,消费者,朗乡,黑龙江,中国,东北,B08MTCKDYN,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"Gizga Essentials, Spiral",226.016,2,0.2,-42.504
195,CN-2016-0000195,2016/1/30,2016/2/3,二级,AFLBLMPC4WUE,VelirDileepV,消费者,朗乡,黑龙江,中国,东北,B08MTCKDYN,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"Gizga Essentials, Spiral",226.016,2,0.2,-42.504
196,CN-2016-0000196,2016/1/30,2016/2/3,二级,AF2IRSQZKMBG,WraithKrishn,消费者,朗乡,黑龙江,中国,东北,B07XLCFSSN,Computers|Accessories,Computers|Accessories,"Amazonbasics Nylon, Braided",354.48,4,0.0,109.76
197,CN-2016-0000197,2016/1/30,2016/2/3,二级,AF2IRSQZKMBG,WraithKrishn,消费者,朗乡,黑龙江,中国,东北,B07XLCFSSN,Computers|Accessories,Computers|Accessories,"Amazonbasics Nylon, Braided",354.48,4,0.0,109.76
198,CN-2016-0000198,2016/1/30,2016/2/3,二级,AEM356PVXFHA,PaulJoeSimon,消费者,朗乡,黑龙江,中国,东北,B07KRCW6LZ,Computers|NetworkingDevices,Computers|NetworkingDevices,"TP-Link Nano, AC600",153.72,3,0.0,72.24
199,CN-2016-0000199,2016/1/30,2016/2/3,二级,AEM356PVXFHA,PaulJoeSimon,消费者,朗乡,黑龙江,中国,东北,B07KRCW6LZ,Computers|NetworkingDevices,Computers|NetworkingDevices,"TP-Link Nano, AC600",153.72,3,0.0,72.24
200,CN-2016-0000200,2016/1/30,2016/2/3,二级,AE3Q6KSUK5P7,rahuls6099Sw,消费者,朗乡,黑龙江,中国,东北,B08CF3B7N1,Computers|Accessories,Computers|Accessories,"Portronics Konnect, L",746.9,5,0.0,149.1
201,CN-2016-0000201,2016/1/30,2016/2/3,二级,AE3Q6KSUK5P7,rahuls6099Sw,消费者,朗乡,黑龙江,中国,东北,B08CF3B7N1,Computers|Accessories,Computers|Accessories,"Portronics Konnect, L",746.9,5,0.0,149.1
202,CN-2016-0000202,2016/1/30,2016/2/3,二级,AHEVO4Q5NM4Y,RahmanAliMAR,消费者,朗乡,黑龙江,中国,东北,B09F6S8BT6,Electronics|HomeTheater,Electronics|HomeTheater,"Samsung 80, cm",141.12,3,0.0,36.54
203,CN-2016-0000203,2016/1/30,2016/2/3,二级,AHEVO4Q5NM4Y,RahmanAliMAR,消费者,朗乡,黑龙江,中国,东北,B09F6S8BT6,Electronics|HomeTheater,Electronics|HomeTheater,"Samsung 80, cm",141.12,3,0.0,36.54
204,CN-2016-0000204,2016/1/30,2016/2/3,二级,AEQ2YMXSZWEO,JayeshRajesh,消费者,朗乡,黑龙江,中国,东北,B08Y1SJVV5,Computers|Accessories,Computers|Accessories,"pTron Solero, MB301",5241.04,2,0.0,1624.56
205,CN-2016-0000205,2016/1/30,2016/2/3,二级,AEQ2YMXSZWEO,JayeshRajesh,消费者,朗乡,黑龙江,中国,东北,B08Y1SJVV5,Computers|Accessories,Computers|Accessories,"pTron Solero, MB301",5241.04,2,0.0,1624.56
206,CN-2016-0000206,2016/1/30,2016/2/3,二级,AHDFR3PDKEBV,AnonymousSug,消费者,朗乡,黑龙江,中国,东北,B07P681N66,Computers|NetworkingDevices,Computers|NetworkingDevices,"TP-Link AC600, 600",2672.32,4,0.0,80.08
207,CN-2016-0000207,2016/1/30,2016/2/3,二级,AEWAZDZZJLQU,OmkardhaleJD,消费者,朗乡,黑龙江,中国,东北,B08HDJ86NZ,Computers|Accessories,Computers|Accessories,"boAt Deuce, USB",1957.76,4,0.0,215.04
208,CN-2016-0000208,2016/1/30,2016/2/3,二级,AEWAZDZZJLQU,OmkardhaleJD,消费者,朗乡,黑龙江,中国,东北,B08HDJ86NZ,Computers|Accessories,Computers|Accessories,"boAt Deuce, USB",1957.76,4,0.0,215.04
209,CN-2016-0000209,2016/1/30,2016/2/6,标准级,AFNYIBWKJLJQ,Prasannavija,小型企业,皇岗,广东,中国,中南,B09C6HXFC1,Computers|Accessories,Computers|Accessories,"Duracell USB, Lightning",1533.924,2,0.1,443.044
210,CN-2016-0000210,2016/1/30,2016/2/6,标准级,AFNYIBWKJLJQ,Prasannavija,小型企业,皇岗,广东,中国,中南,B09C6HXFC1,Computers|Accessories,Computers|Accessories,"Duracell USB, Lightning",1533.924,2,0.1,443.044
211,CN-2016-0000211,2016/1/30,2016/2/6,标准级,AEYHTCWWZYU3,ShivaUzefkot,小型企业,皇岗,广东,中国,中南,B00NH11KIK,Computers|Accessories,Computers|Accessories,"AmazonBasics USB, 2.0",505.96,2,0.0,247.8
212,CN-2016-0000212,2016/1/30,2016/2/6,标准级,AEYHTCWWZYU3,ShivaUzefkot,小型企业,皇岗,广东,中国,中南,B00NH11KIK,Computers|Accessories,Computers|Accessories,"AmazonBasics USB, 2.0",505.96,2,0.0,247.8
213,CN-2016-0000213,2016/1/30,2016/2/6,标准级,AFB5KJR4Q5FI,RohanNarkarJ,小型企业,皇岗,广东,中国,中南,B08WRBG3XW,Computers|Accessories,Computers|Accessories,"boAt Type, C",3819.564,2,0.1,551.684
214,CN-2016-0000214,2016/1/30,2016/2/6,标准级,AFB5KJR4Q5FI,RohanNarkarJ,小型企业,皇岗,广东,中国,中南,B08WRBG3XW,Computers|Accessories,Computers|Accessories,"boAt Type, C",3819.564,2,0.1,551.684
215,CN-2016-0000215,2016/1/30,2016/2/5,标准级,AEJLOEHISUIS,MeghnadParth,消费者,榆林,陕西,中国,西北,B09QS9X9L8,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"Redmi Note, 11",17850.0,6,0.0,3927.0
